SK_ID_CURR,TARGET
149741,1
363290,0
436006,0
377703,0
188624,0
454397,0
358007,0
140209,0
234837,0
269983,0
435574,0
299809,0
386485,0
269948,0
280976,0
238068,0
304049,0
414990,0
217203,0
376182,0
105944,0
141357,0
309630,0
242368,1
442101,0
398068,0
200440,0
130746,0
391997,0
290025,0
343846,0
126485,0
104163,0
362585,0
208568,1
223220,0
115449,0
157918,0
235847,0
424643,0
260115,0
101029,0
209683,0
332916,0
170649,0
148754,0
322016,0
410057,0
400391,0
303311,0
306375,0
349106,0
276461,0
410126,0
150037,1
454632,0
174402,1
261588,0
348830,0
340159,1
389531,0
162563,0
334705,0
304569,0
310542,0
308062,0
261605,0
322239,0
117154,0
364023,0
348864,0
345535,0
228272,0
418424,0
383965,0
145408,0
427237,0
264554,0
174096,0
354555,0
410575,1
186995,0
283181,0
434215,0
337331,0
424061,0
232858,0
176976,0
289643,1
261786,0
160826,0
148685,0
184353,0
129079,0
169069,0
196926,0
221111,0
167852,0
297652,0
181938,0
293370,0
421379,0
332561,0
340723,0
229097,0
175449,0
193445,0
330554,0
302817,0
424238,0
175232,1
390273,0
187554,0
283526,0
422721,0
416240,0
259330,0
434371,0
382582,0
197878,0
189555,1
273167,0
241255,0
168675,0
260249,0
181438,0
247375,0
426054,0
264562,0
133340,0
325719,0
447395,0
452598,0
311400,0
341080,0
373081,0
404162,0
242418,0
237969,0
360771,0
231795,0
146290,0
421260,0
315059,0
282509,0
182155,0
107722,0
396388,0
330258,0
341315,1
320906,0
212236,0
235119,0
292404,0
229696,0
258282,0
215108,0
274567,0
432205,0
353839,0
327514,0
285013,0
442313,0
404195,0
438392,0
309398,0
219282,0
260308,0
135148,0
445234,0
168834,0
329599,0
362760,0
163956,1
445122,0
251032,0
351312,0
302118,0
359576,0
171282,0
352937,0
449162,0
421092,0
141802,0
108833,1
148965,0
121902,0
100242,0
169654,0
276094,0
415451,0
248819,0
389326,0
210540,0
439749,0
320069,0
393996,0
198943,1
311392,0
291040,0
173126,0
442873,0
319254,0
426528,0
200805,0
173889,0
116171,0
155997,0
115874,0
125263,0
361455,0
307117,1
199346,0
444746,0
211032,0
201396,1
252107,0
244492,1
287818,0
316442,0
366020,0
126061,0
382315,0
314882,0
448535,1
280609,0
178743,0
125823,0
434572,0
440279,0
140307,0
347288,0
210124,0
313107,0
190816,0
375291,0
346276,0
156775,0
437197,1
317309,0
122119,0
261788,0
420159,0
193244,0
124358,0
446769,0
356875,0
361425,0
356234,0
393083,0
121409,0
319077,0
316115,0
379361,0
133822,0
220485,0
330520,0
401779,0
437590,0
118908,0
283935,0
147601,0
121634,1
171054,0
207837,0
112485,0
277914,0
440089,0
403042,0
157589,0
252415,1
300311,0
258099,0
268428,0
236746,0
222744,0
108294,0
286390,0
340617,0
401079,0
140473,0
281105,0
398022,0
368368,0
273618,0
238835,0
451405,0
220268,0
111236,0
229372,0
214909,0
424465,0
425753,0
187107,0
355551,0
150875,0
228360,0
158449,0
256827,0
452482,0
240143,1
345371,0
367140,0
425216,0
306460,0
261919,0
378545,0
376784,0
321675,0
413821,0
115870,0
150067,0
444215,0
455421,0
127234,0
422385,0
145471,1
267867,0
342040,0
232639,1
379752,0
107047,0
128773,1
226072,0
424147,0
371123,0
418636,0
176632,0
446395,0
189140,1
250851,0
416391,0
245881,0
296736,0
193826,0
116843,1
180901,0
212322,0
139141,0
267885,0
252227,0
405466,0
361985,0
103758,0
244944,0
125301,0
245826,0
127394,1
223321,0
433192,0
436795,0
311093,0
343150,0
147034,0
187683,0
306945,0
248625,0
179828,0
293811,1
429605,0
343104,0
158792,1
229537,0
404533,0
455507,0
269784,0
436527,0
284372,0
333637,1
199780,0
362103,0
262900,0
287481,0
422925,0
190888,0
313046,0
171286,0
427096,1
197712,0
133508,1
183904,0
163168,0
125740,0
394614,0
443207,0
277385,0
432854,0
175118,0
177634,1
359767,0
198443,0
365637,0
141073,0
352545,0
162456,0
207216,0
288483,1
134994,0
179586,0
249799,0
118095,0
415596,0
390596,1
112781,0
123894,1
128093,0
355216,0
305353,0
455753,0
328893,0
173741,0
169823,0
374097,0
132210,0
424435,0
228112,0
359167,0
221299,1
349867,1
346581,0
121441,0
349412,1
444267,0
236539,0
450175,0
336834,1
341376,0
447152,0
120656,1
326844,0
319431,0
445901,0
452186,0
366510,0
318465,0
123406,0
290237,0
120973,0
280763,0
416911,0
365876,0
381252,0
145116,0
187816,0
337507,0
222412,0
324102,0
201809,0
204825,0
388563,0
140171,0
392850,0
210311,0
338217,0
109751,0
233440,0
152733,0
224331,0
385109,0
162466,0
231766,0
283610,0
192476,1
399183,0
161633,0
141026,0
399379,0
117699,0
385533,1
209400,1
256262,0
288578,0
380753,1
381351,0
421320,0
100930,0
229792,0
301172,0
180390,0
355215,0
342524,0
446559,0
263618,0
343267,0
104662,0
172455,0
170858,0
105930,0
284546,0
236789,0
432973,0
185541,0
402132,0
290616,0
264713,0
107945,0
119720,0
107118,0
312523,0
323945,0
117061,0
386447,0
293564,0
123269,0
199101,0
230146,0
382780,1
338144,0
296473,0
122773,0
236786,1
130899,0
187811,0
358190,0
212163,0
317415,0
341725,0
204250,0
267875,0
173758,0
159830,0
210119,0
211626,0
267566,0
429899,0
401555,0
437600,0
