id,tweet_text,tweet_date,query_used
1046764676707753987,Apartamento Vila Mariana Praça Monteiro dos Santos O iMudou é especialista em imóveis e encontrou 7 oportunidades para a busca apartamento vila mariana praca monteiro dos santos. Temos as ofertas com o menor preço! :) https://t.co/8JlJ0N1Ewe,Mon Oct 01 14:12:01 +0000 2018,:)
1047329264943751169,@FalleNCS @BrasilGameShow quero 1x1 de scout. Dizem que dou muita bala cagada :),Wed Oct 03 03:35:29 +0000 2018,:)
1045443874947313665,mais uma analógica no correio à minha espera :D Só falta receber duas lentes e começar a revelar em casa.,Thu Sep 27 22:43:37 +0000 2018,:)
1040484298711814144,"Em festa de posse como presidente do STF, Toffoli canta Legião Urbana https://t.co/IEs709I35Z",Fri Sep 14 06:16:02 +0000 2018,folha
1045411876887306240,@thethiagor @jubsilva @GSCISA @GrupoMulheRIs A Flávia tem tuiter também @fmedeirosss :),Thu Sep 27 20:36:28 +0000 2018,:)
1046755008824455168,"@putaqueparola @aaa_nie @jrpilar @DCM_online Brincadeiras: não pode de um lado, pode de outro. De um lado é ódio, do outro só meme. Deu pra entender sim, obrigado :)",Mon Oct 01 13:33:36 +0000 2018,:)
1049323059369447425,"Tem um senhor de idade aqui no hospital onde eu estou, chorando de dor e chamando o nome dos filhos dele Ele tá internado sem nenhum acompanhante. Estou muito triste :(",Mon Oct 08 15:38:07 +0000 2018,:(
1049032860626247682,"Votação de brasileiros no exterior deve ser recorde, diz Itamaraty https://t.co/o2Hzp5F390",Sun Oct 07 20:24:58 +0000 2018,veja
1037681285689475072,#Fato isto explica tudo https://t.co/tcz7JEG3Bw,Thu Sep 06 12:37:52 +0000 2018,#fato
1049319300551593989,@LauandaVentura Vou tentar mais uma vez :-),Mon Oct 08 15:23:11 +0000 2018,:)
1048408675709333505,Oi eu sou a criança deprimida :) https://t.co/p13tvMUSSq,Sat Oct 06 03:04:41 +0000 2018,:)
1048397104014667777,"@jelenatype voltei, é q tu nao manda mais msg acaba nem sabendo grr, mas inclusive eu ganhei :P https://t.co/vdODqE88yo",Sat Oct 06 02:18:42 +0000 2018,:)
1049137986766626817,"Eu nunca pensei que, um dia, eu ia fugir dos meus problemas... Mas eu nem voto, então não coloquem a culpa em mim :) https://t.co/6WTAiisFaV",Mon Oct 08 03:22:42 +0000 2018,:)
1045365438677471232,"@canhascp @sttoyan Obg, era mm isso :) abraço",Thu Sep 27 17:31:57 +0000 2018,:)
1046717854110949377,"@giordanelages Oh, Gio :(( Sinto muito! Forças e bênçãos pra você e sua família",Mon Oct 01 11:05:58 +0000 2018,:(
1042428359647604737,Grupo flagrado tentando usar ônibus sem pagar na Colômbia é obrigado a limpar o chão https://t.co/SaROcR2po0,Wed Sep 19 15:01:02 +0000 2018,folha
1041768009285742592,Cinco bons podcasts para ouvir e acompanhar https://t.co/ppgDDjYHqC,Mon Sep 17 19:17:03 +0000 2018,folha
1049103110117965824,@edivaldo1000 Mandei DM. Verifica lá. :),Mon Oct 08 01:04:07 +0000 2018,:)
1031296850257764352,Esses jogos do Brasileirão só servem para realçar a lista de dispensas para 2019! #Fato,Sun Aug 19 21:48:24 +0000 2018,#fato
1039193086633668608,"#Fsradiobrasil @benjaminback BENJAAAA, UM QUESTIONAMENTO AO SR. SORMANI ! Ele fala que treinador bom tem que ter cabelo branco e etc.. O MAIOR TÉCNICO DO MUNDO ( PEPE GUARDIOLA), não tem nem cabelo branco e nem cabelo ! O cabeça branca do Sormani está desatualizada #FATO",Mon Sep 10 16:45:13 +0000 2018,#fato
1044677924224348160,Por que o Cabo Daciolo soa como um rapper? Entenda no vídeo: https://t.co/FVAuVWDHG2,Tue Sep 25 20:00:00 +0000 2018,jornaloglobo
